userId,lang_count,counts_details,counts_pictures,counts_kisses,whazzup_len,cluster_4,cluster_5
527257e0160ba0bc0e260876,2,0.5,9,757,74,1,1
5272b810c66da1ec558bc964,3,0.35,9,169,2,0,0
52741b4f180ba040543a1164,1,0.85,5,290,19,0,3
52753960c46da1005188cc1e,1,0.58,2,24,0,2,2
527616cc1b0ba0283bf119b0,1,0.81,4,530,2,1,3
52764b23180ba07a52273952,1,0.92,3,199,12,0,0
5277d9e51a0ba0193d4ccac4,1,0.31,5,1484,17,3,4
52794df41b0ba02902c74ef9,1,0.77,4,14,18,2,2
527b1970160ba09c0d6b18ea,1,0.85,3,28,59,2,2
527d44ef190ba03f52898f12,1,0.85,3,1120,0,3,1
528120611a0ba0bb4afbd7e4,1,0.0,3,719,24,1,1
52815402180ba06e14a3a805,1,0.88,8,335,0,0,3
52829850180ba0df111b34b4,1,0.92,7,260,28,0,0
52829dba170ba0b87d4d4c5a,1,0.81,11,80,49,2,2
52869824180ba04c0cb8fd20,1,0.65,6,197,63,0,0
52892cb2140ba0f662553b37,1,0.81,7,23,82,2,2
52892eab1a0ba0e723fb49f4,1,0.08,3,589,0,1,3
528a05921b0ba0f13ea545c1,1,0.31,4,426,28,0,3
528a0d65190ba0b96b66125f,1,0.77,8,141,0,2,0
528a3002160ba0e502b7000f,1,0.81,8,1911,46,3,4
528b523d140ba049531b8938,1,1.0,3,372,41,0,3
528cc32e160ba0110f4ffeda,1,0.62,5,86,0,2,2
528db742190ba0a96dbbd7a5,2,0.96,7,391,23,0,3
5291cc92190ba0850703bf60,1,0.0,2,306,3,0,3
5291d6edc66da111388997f7,1,0.62,6,59,75,2,2
52924b92150ba06e742d3642,1,0.85,4,72,16,2,2
5294e3ab1a0ba0dd0a606883,3,0.58,9,991,48,1,1
5294e447170ba0d534f65c78,1,0.31,4,476,32,0,3
5295191e1b0ba0ba39fb7f2c,1,0.88,2,22,0,2,2
529690a8180ba02e7449132c,1,0.58,7,208,0,0,0
5296e1ce180ba0b0165aa028,1,0.81,1,100,2,2,2
529a7799170ba0095b6079fe,1,0.54,6,881,4,1,1
529b793d190ba0c52535699a,1,0.54,1,131,0,2,0
529b7b44180ba0124b41db76,1,0.0,0,458,9,0,3
529c7a64170ba00912bd0e61,1,0.58,4,664,2,1,1
529d13a3170ba02e03f5304a,3,0.88,1,116,0,2,0
529e30edc86da1380d87e248,3,1.0,5,65,0,2,2
529fbee2150ba06605190878,1,0.96,2,16,33,2,2
52a0760c160ba0b213d6dea9,1,1.0,7,41,76,2,2
52a0ff741b0ba067505460d0,1,0.73,6,397,0,0,3
52a480921a0ba0963da70a73,2,0.62,6,318,27,0,3
52aafd98190ba0eb24fac598,1,0.92,3,178,0,0,0
52ab9f071b0ba03521a89a87,1,0.88,1,25,15,2,2
52ac3a7a180ba09c64f448b3,1,0.73,2,53,24,2,2
